Edición(AP),Fecha,Localización,Artista(s),Productor,Director,Patrocinador,Tema / Repertorio,Ref.
LIV(AP),2 de febrero de 2020,"Hard Rock Stadium(Miami Gardens,Florida)",Jennifer LopezShakiraBad BunnyJ BalvinEmme Muñiz,Ricky Kirshner,Hamish Hamilton,PepsiRoc Nation,"Repertorio«She Wolf» (contiene elementos de «Dare (La La La)»)«Empire» (contiene elementos de «Inevitable» y «Kashmir»)«Ojos Así»«Whenever, Wherever»«I Like It» (conBad Bunny; contiene elementos de «En Barranquilla me quedo»)«Chantaje» (con Bad Bunny; contiene elementos de «Callaíta»)«Hips Don't Lie»«Jenny from the Block»«Ain't It Funny (Murder Remix)»«Get Right»«Waiting for Tonight (Hex Hector Mix)»«Booty» / «Mi gente» (conJ Balvin)«On the Floor»«Let's Get Loud» (con Emme Muñiz; contiene elementos de «Born in the U.S.A.»)«Waka Waka (This Time for Africa)»",[36]​[37]​[38]​[39]​
LV(AP),7 de febrero de 2021,"Raymond James Stadium(Tampa, Florida)",The Weeknd,Jesse Collins,Repertorio«Starboy»«The Hills»«Can't Feel My Face»«I Feel It Coming»«Save Your Tears»«Earned It»«Blinding Lights»,[40]​
LVI(AP),13 de febrero de 2022,"SoFi Stadium(Inglewood, California)",Dr. DreEminemSnoop Dogg50 CentMary J. BligeKendrick LamarAnderson Paak,Repertorio«The Next Episode» (Dr. Dre y Snoop Dog)«California Love» (Dr. Dre y Snoop Dog)«In da Club» (50 Cent)«Family Affair» (Mary J. Blige)«No More Drama» (Mary J. Blige)«M.A.A.D City» (Kendrick Lamar)«Alright» (Kendrick Lamar)«Forgot About Dre» (Dr. Dre y Eminem)«Lose Yourself» (Eminem y Anderson Paak en los tambores)«I Ain't Mad at Cha» (interludio instrumental) (Dr. Dre)«Still D.R.E.» (todos),[41]​[42]​
LVII(AP),12 de febrero de 2023,"State Farm Stadium(Glendale, Arizona)",Rihanna,Apple Music[43]​,"Repertorio«Bitch Better Have My Money»(contiene elementos de «What's My Name?» y «Phresh Out the Runway»)«Where Have You Been»«Only Girl (In the World)»(contiene elementos de «Cockiness (Love It)»)«We Found Love»(contiene elementos de «S&M»)«Rude Boy»(DJ Klean Remix; contiene elementos de «Kiss It Better»)«Work»«Wild Thoughts»«Pour It Up»(contiene elementos de «Birthday Cake», «Numb» y «Pose»)«All of the Lights»«Run This Town»«Umbrella»«Diamonds»",[44]​
LVIII(AP),11 de febrero de 2024,"Allegiant Stadium(Las Vegas, Nevada)",UsherAlicia KeysJermaine DupriH.E.R.will.i.amLil JonLudacris,,,,[45]​
