Edición,Fecha,Localización,Artista(s),Productor,Patrocinador,Tema / Repertorio,Ref.
XXXIV,30 de enero de 2000,"Georgia Dome(Atlanta,Georgia)",Phil CollinsChristina AguileraEnrique IglesiasToni BraxtonCoro de 80 personas,Disney,E-Trade,Tapestry of Nations/Repertorio«Reflections of Earth» (Instrumental) (Banda sonora de Walt Disney World Millennium Celebration)«Celebrate the Future Hand in Hand» (C. Aguilera y E. Iglesias)«Tapestry of Nations» (Instrumental) (Banda sonora de Walt Disney World Millennium Celebration)«Two Worlds» (P. Collins)«We Go On» (T. Braxton),[5]​[13]​
XXXV,28 de enero de 2001,"Raymond James Stadium(Tampa,Florida)",Aerosmith'N SyncBritney SpearsMary J. BligeNelly,MTV,"The Kings of Rock and Pop/RepertorioSketchintroductorio pregrabado conBen Stiller,Adam Sandler,Chris Rock, Aerosmith y 'N Sync«Bye Bye Bye» ('N Sync)«I Don't Want to Miss a Thing» (Aerosmith)«It's Gonna Be Me» ('N Sync)«Jaded» (Aerosmith)«Walk This Way» (Aerosmith, 'N Sync, Britney Spears, Mary J. Blige y Nelly)",[5]​[6]​
XXXVI,3 de febrero de 2002,"Louisiana Superdome(Nueva Orleans,Luisiana)",U2,Clear Channel Entertainment,Tribute to those killed in theSeptember 11 attacks/Repertorio«Beautiful Day»«MLK»«Where the Streets Have No Name»,[5]​[6]​
XXXVII,26 de enero de 2003,"Estadio Qualcomm(San Diego,California)",Shania TwainNo DoubtSting,Jimmy Iovine y Joel Gallen,AT&T Wireless,Repertorio«Man! I Feel Like a Woman!» (Shania Twain)«Up!» (Shania Twain)«Just a Girl» (No Doubt)«Message in a Bottle» (Sting con No Doubt),[5]​
XXXVIII,1 de febrero de 2004,"Reliant Stadium(Houston,Texas)",Jessica SimpsonBandas de marcha de la Universidad del Sur de Texas y laUniversidad de HoustonJanet JacksonP. DiddyNellyKid RockJustin Timberlake,MTV,AOLTopSpeed,Rock the Vote/Repertorio«Choose to Party» (Introducción por J. Simpson)Bandas de marcha«All for You» (J. Jackson)«Diddy» a la melodía de «Mickey» (P. Diddy)«Hot in Herre» (Nelly)«Mo Money Mo Problems» (P. Diddy)«Bawitdaba» (K. Rock)«Cowboy» (K. Rock)«Rhythm Nation» (J. Jackson)«Rock Your Body» (J. Timberlake con J. Jackson),[5]​[6]​
XXXIX,6 de febrero de 2005,"Reliant Stadium(Jacksonville, Florida)",Paul McCartney,Don Mischer Productions,Ameriquest Mortgage,Repertorio«Drive My Car»«Get Back»«Live and Let Die»«Hey Jude»,[5]​
XL,5 de febrero de 2006,"Ford Field(Detroit,Míchigan)",The Rolling Stones,Sprint Nextel,Repertorio«Start Me Up»«Rough Justice»«(I Can't Get No) Satisfaction»,[5]​[6]​
XLI(AP),4 de febrero de 2007,"Dolphins Stadium(Miami Gardens, Florida)",PrinceBanda de marcha de laUniversidad Agrónoma y Mecánica de Florida,Don Mischer Productions y  White Cherry Entertainment,Pepsi,Repertorio«We Will Rock You»«Let's Go Crazy»«Baby I'm a Star»«Proud Mary»«All Along the Watchtower»«Best of You»«Purple Rain»,[5]​[6]​
XLII,3 de febrero de 2008,"Estadio de la Universidad de Phoenix(Glendale,Arizona)",Tom Petty and the Heartbreakers,Bridgestone,Repertorio«American Girl»«I Won't Back Down»«Free Fallin'»«Runnin' Down a Dream»,[5]​
XLIII,1 de febrero de 2009,"Raymond James Stadium(Tampa, Florida)",Bruce Springsteeny laE Street Band,Repertorio«Tenth Avenue Freeze-Out»«Born to Run»«Working on a Dream»«Glory Days»,[5]​
